                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   37019840 |   88680960 |   33872594 |   38504457 |   45404929 |   51652099 |   57979386 |  179221175 |  143742074 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200 |  240595200
  IPC                                |       0.15 |       0.37 |       0.14 |       0.16 |       0.19 |       0.21 |       0.24 |       0.74 |       0.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800
  Idle time (ns)                     |   53459511 |   44280757 |   53235793 |   51965411 |   50729120 |   49497380 |   48104914 |   17223619 |   26360195 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800 |   60148800
  Idle time (%)                      |      88.9% |      73.6% |      88.5% |      86.4% |      84.3% |      82.3% |      80.0% |      28.6% |      43.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1772034 |    3213716 |    1226899 |    1351327 |    1561890 |    1742478 |    1939463 |    5392931 |    4352535 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      71339 |     804665 |     169737 |     190587 |     203204 |     203713 |     208990 |    1007419 |     773648 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      3.87% |     20.02% |     12.15% |     12.36% |     11.51% |     10.47% |      9.73% |     15.74% |     15.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.93 |       9.07 |       5.01 |       4.95 |       4.48 |       3.94 |       3.60 |       5.62 |       5.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3516191 |   10349839 |    3776621 |    4180618 |    4791557 |    5329138 |    5891101 |   18004189 |   14491146 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        317 |        194 |        464 |        453 |        448 |        426 |        409 |        881 |        926 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
