CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend                 0.00       0.00       0.08       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.00       0.07       0.00       0.06       0.06       0.05       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.03       0.00       0.00       0.00       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.00       0.17       0.09       0.09       0.08       0.07       0.07       0.12       0.11       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 0.09       0.06       0.19       0.20       0.19       0.19       0.19       0.22       0.22       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.11       0.09       0.08       0.07       0.06       0.05       0.07       0.07       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.20       0.00       0.00       0.10       0.11       0.13       0.14       0.18       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             5.77       0.00       1.05       0.81       0.61       0.49       0.45       0.15       0.54       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.09       0.08       0.07       0.06       0.05       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.14       0.19       0.22       0.25       0.10       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       1.98       5.09       4.38       3.60       3.06       2.57       0.12       0.00   241010423.00   241010423.00   241010423.00   241010423.00   241010423.00   241010423.00   241010423.00
other                  0.20       0.06       0.18       0.08       0.08       0.02       0.02       0.03       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                  6.51       2.72       7.12       6.26       5.31       4.67       4.16       1.34       1.68   241010423.00   241010423.00   241010423.00   241010423.00   241010423.00   241010423.00   241010423.00
