Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	6467300	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	6493800	75471.698113	37735.847656	37735.849057	0.000000	100.000000
2	0	6500900	89285.714286	59523.808594	140845.070423	0.000000	100.000000
3	0	6505200	105540.897098	79155.671875	232558.139535	0.000000	100.000000
4	4	6665900	25176.233635	20140.986328	6222.775358	0.000000	100.000000
5	4	6670300	29556.650246	24630.541016	227272.727273	0.000000	100.000000
6	4	6674100	33849.129594	29013.539062	263157.894737	0.000000	100.000000
7	8	6819400	22720.817949	19880.714844	6882.312457	0.000000	100.000000
8	8	6826800	25034.770515	22253.128906	135135.135135	0.000000	100.000000
9	8	6830500	27533.039648	24779.736328	270270.270270	0.000000	100.000000
10	12	6973800	21717.670286	19743.335938	6978.367062	0.000000	100.000000
11	12	6980100	23400.936037	21450.857422	158730.158730	0.000000	100.000000
12	12	6987600	24985.585239	23063.617188	133333.333333	0.000000	100.000000
13	16	7126700	21231.422505	19714.892578	7189.072610	0.000000	100.000000
14	16	7132900	22536.057692	21033.654297	161290.322581	0.000000	100.000000
15	16	7144500	23626.698169	22150.029297	86206.896552	0.000000	100.000000
16	20	7281400	20881.955534	19653.605469	7304.601899	0.000000	100.000000
17	20	7285900	21988.761300	20767.164062	222222.222222	0.000000	100.000000
18	20	7301200	22784.506536	21585.322266	65359.477124	0.000000	100.000000
19	24	7434400	20680.384655	19646.365234	7507.507508	0.000000	100.000000
20	24	7438700	21618.282891	20588.841797	232558.139535	0.000000	100.000000
21	24	7458000	22206.520642	21197.132812	51813.471503	0.000000	100.000000
22	28	7589000	20504.591245	19613.087891	7633.587786	0.000000	100.000000
23	28	7592600	21327.645961	20438.994141	277777.777778	0.000000	100.000000
24	28	7615100	21780.798048	20909.566406	44444.444444	0.000000	100.000000
25	32	7743100	20379.369807	19595.548828	7812.500000	0.000000	100.000000
26	32	7746100	21113.543947	20331.560547	333333.333333	0.000000	100.000000
27	32	7772100	21459.227468	20692.826172	38461.538462	0.000000	100.000000
28	36	7897600	20275.466685	19576.312500	7968.127490	0.000000	100.000000
29	36	7901000	20924.879682	20227.384766	294117.647059	0.000000	100.000000
30	36	7929200	21205.280799	20521.240234	35460.992908	0.000000	100.000000
31	40	8051500	20199.469764	19259.164062	8176.614881	0.000000	100.000000
32	40	8054400	20792.640665	19311.232422	344827.586207	0.000000	100.000000
33	40	8086300	21000.617665	18974.132812	31347.962382	0.000000	100.000000
34	44	8205800	20132.297958	19481.785156	8368.200837	0.000000	100.000000
35	44	8209200	20667.087663	19494.443359	294117.647059	0.000000	100.000000
36	44	8243300	20833.333333	19118.021484	29325.513196	0.000000	100.000000
37	48	8359700	20080.321285	19476.726562	8591.065292	0.000000	100.000000
38	48	8362600	20577.217327	19533.794922	344827.586207	0.000000	100.000000
39	48	8400200	20694.293549	19111.933594	26595.744681	0.000000	100.000000
40	52	8514300	20029.311187	19474.197266	8764.241893	0.000000	100.000000
41	52	8517800	20482.809071	19509.656250	285714.285714	0.000000	100.000000
42	52	8557200	20575.147136	19113.150391	25380.710660	0.000000	100.000000
43	56	8668300	19990.913221	19460.300781	9000.900090	0.000000	100.000000
44	56	8671100	20419.275796	19503.316406	357142.857143	0.000000	100.000000
45	56	8714200	20472.651208	19111.933594	23201.856148	0.000000	100.000000
46	60	8822800	19953.300785	19462.826172	9208.103131	0.000000	100.000000
47	60	8826200	20348.467506	19476.726562	294117.647059	0.000000	100.000000
48	60	8871200	20383.543409	19108.281250	22222.222222	0.000000	100.000000
49	64	8976700	19925.081693	19451.468750	9478.672986	0.000000	100.000000
50	64	8979600	20300.123393	19469.142578	344827.586207	0.000000	100.000000
51	64	9028200	20305.361396	19105.845703	20576.131687	0.000000	100.000000
52	68	9131200	19895.641728	19452.728516	9708.737864	0.000000	100.000000
53	68	9134600	20245.191767	19455.251953	294117.647059	0.000000	100.000000
54	68	9185200	20236.211781	19107.062500	19762.845850	0.000000	100.000000
55	72	9285100	19873.660302	19455.251953	10010.010010	0.000000	100.000000
56	72	9287900	20208.466284	19457.777344	357142.857143	0.000000	100.000000
57	72	9342100	20175.316544	19108.281250	18450.184502	0.000000	100.000000
58	76	9439500	19850.615706	19456.513672	10266.940452	0.000000	100.000000
59	76	9443100	20162.645339	19453.992188	277777.777778	0.000000	100.000000
60	76	9499100	20120.060690	19109.498047	17857.142857	0.000000	100.000000
61	80	9593600	19831.749992	19453.992188	10582.010582	0.000000	100.000000
62	80	9596300	20134.228188	19456.513672	370370.370370	0.000000	100.000000
63	80	9656100	20070.245861	19110.714844	16722.408027	0.000000	100.000000
64	84	9748000	19812.844820	19452.728516	10881.392818	0.000000	100.000000
65	84	9751400	20096.830182	19452.728516	294117.647059	0.000000	100.000000
66	84	9813100	20025.106103	19110.714844	16207.455429	0.000000	100.000000
67	88	9901900	19798.520934	19452.728516	11261.261261	0.000000	100.000000
68	88	9904800	20072.727273	19452.728516	344827.586207	0.000000	100.000000
69	88	9970100	19984.012790	19109.498047	15313.935681	0.000000	100.000000
70	92	10056400	19782.118080	19453.992188	11587.485516	0.000000	100.000000
71	92	10059800	20041.753653	19455.251953	294117.647059	0.000000	100.000000
72	92	10127100	19946.445161	19109.498047	14858.841010	0.000000	100.000000
73	96	10210300	19770.237777	19455.251953	12019.230769	0.000000	100.000000
74	96	10213200	20021.890600	19453.992188	344827.586207	0.000000	100.000000
75	96	10284200	19911.446462	19108.281250	14084.507042	0.000000	100.000000
