CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.14       1.82       1.82       0.00
depend                 0.15       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.80       0.32       0.32       0.00
mem-l1d                0.13       0.05       0.05       0.00
sync-futex             7.29       0.00       0.00       0.00
sync-unscheduled        0.00       0.65       0.65       0.00
imbalance-end          0.00       0.19       0.20   476964292.00
other                  0.07       0.03       0.03    8000.00

total                  9.57       3.50       3.50   476972292.00
