                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49853387 |   91192122 |   91212655 |          0
  Cycles                             |  366170800 |  366170800 |  366170800 |  366170800
  IPC                                |       0.14 |       0.25 |       0.25 |       0.00
  Time (ns)                          |   91542700 |   91542700 |   91542700 |   91542700
  Idle time (ns)                     |   62225792 |   29320828 |   31283554 |   91542700
  Idle time (%)                      |      68.0% |      32.0% |      34.2% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8244474 |    5207667 |    5226983 |          0
  num incorrect                      |     545443 |     144861 |     126289 |          0
  misprediction rate                 |      6.21% |      2.71% |      2.36% |      0.00%
  mpki                               |      10.94 |       1.59 |       1.38 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573559 |   10123744 |   10126912 |          0
    num misses                       |        124 |         25 |         25 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17201626 |   26819935 |   26824445 |          0
    num misses                       |        366 |         80 |         94 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        490 |        105 |        119 |          0
    num misses                       |        301 |        101 |        102 |          0
    miss rate                        |     61.43% |     96.19% |     85.71% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573559 |   10123744 |   10126912 |          0
    num cache misses                 |       2420 |        154 |        153 |          0
    miss rate                        |      0.03% |      0.00% |      0.00% |       inf%
    mpki                             |       0.05 |       0.00 |       0.00 |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17201626 |   26819935 |   26824445 |          0
    num cache misses                 |      11029 |      82333 |      83493 |          0
    miss rate                        |      0.06% |      0.31% |      0.31% |       inf%
    mpki                             |       0.22 |       0.90 |       0.92 |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      13539 |      82490 |      83649 |          0
    num cache misses                 |      10219 |       1547 |       1561 |          0
    miss rate                        |     75.48% |      1.88% |      1.87% |       inf%
    mpki                             |       0.20 |       0.02 |       0.02 |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10313 |       1550 |       1564 |          0
    num cache misses                 |       8719 |        270 |        387 |          0
    miss rate                        |     84.54% |     17.42% |     24.74% |       inf%
    mpki                             |       0.17 |       0.00 |       0.00 |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9376 |          0 |          0 |          0
  average dram access latency (ns)   |      67.65 |        inf |        inf |        inf
  average dram queueing delay        |      14.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2516 |        210 |        312 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
