                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    36749925 |   352273935 |   273837622 |           0
  Cycles                             |  1053499600 |  1053499600 |  1053499600 |  1053499600
  IPC                                |        0.03 |        0.33 |        0.26 |        0.00
  Time (ns)                          |   263374900 |   263374900 |   263374900 |   263374900
  Idle time (ns)                     |   246947196 |    36673229 |    91138613 |   263374900
  Idle time (%)                      |       93.8% |       13.9% |       34.6% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |     1514348 |    10814989 |     8046170 |           0
  num incorrect                      |       71278 |     2184600 |     1335429 |           0
  misprediction rate                 |       4.50% |      16.81% |      14.23% |       0.00%
  mpki                               |        1.94 |        6.20 |        4.88 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |     3512658 |    37265428 |    28164059 |           0
    num misses                       |         373 |         730 |         889 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    13439297 |   123204509 |    96658151 |           0
    num misses                       |       10947 |      457669 |      516947 |           0
    miss rate                        |       0.08% |       0.37% |       0.53% |       0.00%
    mpki                             |        0.30 |        1.30 |        1.89 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |       11320 |      458399 |      517836 |           0
    num misses                       |        3741 |       83296 |       78743 |           0
    miss rate                        |      33.05% |      18.17% |      15.21% |       0.00%
    mpki                             |        0.10 |        0.24 |        0.29 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |     3512658 |    37265428 |    28164059 |           0
    num cache misses                 |      156947 |     2575878 |     2447287 |           0
    miss rate                        |       4.47% |       6.91% |       8.69% |        inf%
    mpki                             |        4.27 |        7.31 |        8.94 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    13439297 |   123204509 |    96658151 |           0
    num cache misses                 |      265948 |     2813642 |     3065568 |           0
    miss rate                        |       1.98% |       2.28% |       3.17% |        inf%
    mpki                             |        7.24 |        7.99 |       11.19 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |      423293 |     5393915 |     5514970 |           0
    num cache misses                 |      247541 |     1275051 |     1124859 |           0
    miss rate                        |      58.48% |      23.64% |      20.40% |        inf%
    mpki                             |        6.74 |        3.62 |        4.11 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |      248111 |     1290009 |     1140136 |           0
    num cache misses                 |      141546 |      174817 |      107541 |           0
    miss rate                        |      57.05% |      13.55% |       9.43% |        inf%
    mpki                             |        3.85 |        0.50 |        0.39 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |      644689 |           0 |           0 |           0
  average dram access latency (ns)   |      739.71 |         inf |         inf |         inf
  average dram queueing delay        |      686.28 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       2.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       61483 |      106029 |       39004 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
