                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   165998935 |  2011381428 |  1934158526 |           0
  Cycles                             |  5424816800 |  5424816800 |  5424816800 |  5424816800
  IPC                                |        0.03 |        0.37 |        0.36 |        0.00
  Time (ns)                          |  1356204200 |  1356204200 |  1356204200 |  1356204200
  Idle time (ns)                     |  1275026716 |    67659541 |   131948647 |  1356204200
  Idle time (%)                      |       94.0% |        5.0% |        9.7% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |     6752545 |    57795448 |    55031186 |           0
  num incorrect                      |      374336 |    11530656 |    10683614 |           0
  misprediction rate                 |       5.25% |      16.63% |      16.26% |       0.00%
  mpki                               |        2.26 |        5.73 |        5.52 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    15378997 |   205134847 |   196224305 |           0
    num misses                       |         886 |        1606 |        1676 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    60967904 |   737667622 |   711058552 |           0
    num misses                       |       56332 |     2937747 |     2930993 |           0
    miss rate                        |       0.09% |       0.40% |       0.41% |       0.00%
    mpki                             |        0.34 |        1.46 |        1.52 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |       57218 |     2939353 |     2932669 |           0
    num misses                       |       13342 |      510077 |      476478 |           0
    miss rate                        |      23.32% |      17.35% |      16.25% |       0.00%
    mpki                             |        0.08 |        0.25 |        0.25 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    15378997 |   205134847 |   196224305 |           0
    num cache misses                 |      730571 |    15128766 |    15012130 |           0
    miss rate                        |       4.75% |       7.38% |       7.65% |        inf%
    mpki                             |        4.40 |        7.52 |        7.76 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    60967904 |   737667622 |   711058552 |           0
    num cache misses                 |     1038043 |    19541541 |    19743469 |           0
    miss rate                        |       1.70% |       2.65% |       2.78% |        inf%
    mpki                             |        6.25 |        9.72 |       10.21 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |     1770732 |    34676612 |    34759750 |           0
    num cache misses                 |      993928 |     8261345 |     7750111 |           0
    miss rate                        |      56.13% |      23.82% |      22.30% |        inf%
    mpki                             |        5.99 |        4.11 |        4.01 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |      996433 |     8314549 |     7809580 |           0
    num cache misses                 |      582074 |     1603319 |      501425 |           0
    miss rate                        |      58.42% |      19.28% |       6.42% |        inf%
    mpki                             |        3.51 |        0.80 |        0.26 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |     3825174 |           0 |           0 |           0
  average dram access latency (ns)   |      288.55 |         inf |         inf |         inf
  average dram queueing delay        |      235.13 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       2.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |      294478 |     1313551 |      217659 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
