CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.23       0.00       0.00       0.00
ifetch                 0.12       0.00       0.00       0.00
mem-l1d                0.04       0.00       0.00       0.00
mem-dram               0.61       0.00       0.00       0.00
imbalance-end          0.00   3202272.00   3202272.00   3202272.00
other                  0.02       0.00       0.00       0.00

total                  1.40   3202272.00   3202272.00   3202272.00
