Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	440288900	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	441297000	1983.930166	991.965088	991.965083	0.000000	100.000000
2	0	441338500	2858.231707	1905.487793	24096.385542	0.000000	100.000000
3	0	441381000	3662.668254	2747.001221	23529.411765	0.000000	100.000000
4	1	442136800	2705.774122	2164.619385	1323.101350	0.000000	100.000000
5	1	442164400	3199.146894	2665.955811	36231.884058	0.000000	100.000000
6	1	442192900	3676.470588	3151.260498	35087.719298	0.000000	100.000000
7	2	442937300	3020.691738	2643.105469	1343.363783	0.000000	100.000000
8	2	442970300	3356.455583	2983.516113	30303.030303	0.000000	100.000000
9	2	442999900	3688.675765	3319.808105	33783.783784	0.000000	100.000000
10	3	443741700	3185.820204	2896.200195	1348.072257	0.000000	100.000000
11	3	443778800	3438.493940	3151.952881	26954.177898	0.000000	100.000000
12	3	443798900	3703.703704	3418.803467	49751.243781	0.000000	100.000000
13	4	444536700	3295.823721	3060.407715	1355.380862	0.000000	100.000000
14	4	444575800	3499.031934	3265.762939	25575.447570	0.000000	100.000000
15	4	444586000	3723.441391	3490.726074	98039.215686	0.000000	100.000000
16	5	445324600	3375.896102	3177.313965	1353.912808	0.000000	100.000000
17	5	445356200	3552.187556	3354.843750	31645.569620	0.000000	100.000000
18	5	445360300	3746.499980	3549.315918	243902.439024	0.000000	100.000000
19	6	446089300	3448.038066	3275.635986	1371.742112	0.000000	100.000000
20	6	446122300	3599.958858	3428.532227	30303.030303	0.000000	100.000000
21	6	446131200	3765.640244	3594.474854	112359.550562	0.000000	100.000000
22	7	446854200	3503.267177	3350.951416	1383.125864	0.000000	100.000000
23	7	446884300	3638.899839	3487.278809	33222.591362	0.000000	100.000000
24	7	446898100	3782.606064	3631.301758	72463.768116	0.000000	100.000000
25	8	447618500	3547.260423	3410.827393	1388.117712	0.000000	100.000000
26	8	447644900	3670.473083	3534.529785	37878.787879	0.000000	100.000000
27	8	447663800	3796.661650	3661.066650	52910.052910	0.000000	100.000000
28	9	448385600	3581.706127	3458.199219	1385.425326	0.000000	100.000000
29	9	448406700	3695.582547	3572.396729	47393.364929	0.000000	100.000000
30	9	448430300	3807.698922	3684.869873	42372.881356	0.000000	100.000000
31	10	449151800	3610.556364	3819.320557	1386.001386	0.000000	100.000000
32	10	449176000	3713.247291	3827.751221	41322.314050	0.000000	100.000000
33	10	449197600	3816.493989	3837.985840	46296.296296	0.000000	100.000000
34	11	449914800	3636.023645	3857.032471	1394.311210	0.000000	100.000000
35	11	449940300	3730.028804	3858.074219	39215.686275	0.000000	100.000000
36	11	449967000	3823.064444	3858.967529	37453.183521	0.000000	100.000000
37	12	450687800	3654.232659	3870.718018	1387.347392	0.000000	100.000000
38	12	450711100	3742.012243	3875.568359	42918.454936	0.000000	100.000000
39	12	450735200	3829.106957	3878.324219	41493.775934	0.000000	100.000000
40	13	451452700	3672.584604	3890.546143	1393.728223	0.000000	100.000000
41	13	451480000	3752.982281	3895.496826	36630.036630	0.000000	100.000000
42	13	451502500	3834.629379	3894.283203	44444.444444	0.000000	100.000000
43	14	452225200	3686.234428	3901.931641	1383.700014	0.000000	100.000000
44	14	452253500	3761.095231	3907.420166	35335.689046	0.000000	100.000000
45	14	452274000	3838.098973	3902.185059	48780.487805	0.000000	100.000000
46	15	453002300	3696.886749	3907.420166	1373.060552	0.000000	100.000000
47	15	453032500	3766.596566	3908.132812	33112.582781	0.000000	100.000000
48	15	453054900	3838.320539	3898.838135	44642.857143	0.000000	100.000000
49	16	453793700	3702.387299	3893.878906	1353.546291	0.000000	100.000000
50	16	453823000	3768.259434	3895.749756	34129.692833	0.000000	100.000000
51	16	453838100	3837.864966	3892.615723	66225.165563	0.000000	100.000000
52	17	454578900	3708.887334	3883.645996	1349.892009	0.000000	100.000000
53	17	454611200	3770.344149	3882.540283	30959.752322	0.000000	100.000000
54	17	454626400	3836.094159	3881.836914	65789.473684	0.000000	100.000000
55	18	455346700	3719.002776	3881.886963	1388.310426	0.000000	100.000000
56	18	455384400	3775.959723	3876.219482	26525.198939	0.000000	100.000000
57	18	455405900	3836.740094	3874.917725	46511.627907	0.000000	100.000000
58	19	456111800	3728.772855	3882.892090	1416.631251	0.000000	100.000000
59	19	456148400	3783.221413	3875.117676	27322.404372	0.000000	100.000000
60	19	456168500	3841.406585	3876.870605	49751.243781	0.000000	100.000000
61	20	456863700	3740.618288	3890.092041	1438.434983	0.000000	100.000000
62	20	456903900	3791.754439	3882.037842	24875.621891	0.000000	100.000000
63	20	456920400	3848.119532	3884.601318	60606.060606	0.000000	100.000000
64	21	457604000	3753.948865	3901.576172	1462.843768	0.000000	100.000000
65	21	457641200	3803.530368	3895.648438	26881.720430	0.000000	100.000000
66	21	457656600	3857.735912	3901.373291	64935.064935	0.000000	100.000000
67	22	458332500	3768.649272	3924.287598	1479.508803	0.000000	100.000000
68	22	458374000	3815.295464	3914.966797	24096.385542	0.000000	100.000000
69	22	458388600	3867.467417	3919.826660	68493.150685	0.000000	100.000000
70	23	459064600	3781.483513	3941.197266	1479.289941	0.000000	100.000000
71	23	459099100	3827.710497	3937.472900	28985.507246	0.000000	100.000000
72	23	459117600	3877.060020	3939.541016	54054.054054	0.000000	100.000000
73	24	459789700	3794.716114	3965.893311	1487.873828	0.000000	100.000000
74	24	459825400	3838.968085	3962.017334	28011.204482	0.000000	100.000000
75	24	459839800	3887.289076	3965.211914	69444.444444	0.000000	100.000000
76	25	460507200	3808.430976	3997.388428	1498.351813	0.000000	100.000000
77	25	460543300	3851.015088	3994.248291	27700.831025	0.000000	100.000000
78	25	460559500	3897.269938	3997.548340	61728.395062	0.000000	100.000000
79	26	461226800	3820.822528	4036.001221	1498.576352	0.000000	100.000000
80	26	461259700	3862.513590	4034.047363	30395.136778	0.000000	100.000000
81	26	461276100	3907.143402	4033.342285	60975.609756	0.000000	100.000000
82	27	461941100	3833.328715	4074.868896	1503.759398	0.000000	100.000000
83	27	461975400	3873.377447	4073.762451	29154.518950	0.000000	100.000000
84	27	461992100	3916.473147	4072.932617	59880.239521	0.000000	100.000000
85	28	462656500	3844.847011	4104.079590	1505.117399	0.000000	100.000000
86	28	462688100	3884.067288	4107.506836	31645.569620	0.000000	100.000000
87	28	462708600	3925.119426	4108.069824	48780.487805	0.000000	100.000000
88	29	463372300	3855.584533	4131.946777	1506.704837	0.000000	100.000000
89	29	463404000	3893.558756	4134.737305	31545.741325	0.000000	100.000000
90	29	463423100	3933.570212	4135.307129	52356.020942	0.000000	100.000000
91	30	464087100	3865.838593	4153.168945	1506.024096	0.000000	100.000000
92	30	464120900	3902.316213	4156.851562	29585.798817	0.000000	100.000000
93	30	464138100	3941.431998	4156.448730	58139.534884	0.000000	100.000000
94	31	464801500	3875.557876	4168.113770	1507.386192	0.000000	100.000000
95	31	464832200	3911.454450	4171.881348	32573.289902	0.000000	100.000000
96	31	464852900	3948.868262	4168.809082	48309.178744	0.000000	100.000000
