Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	824700	0.000000	0.000000	0.000000	0.000000	100.000000
1	5	831400	298507.462687	149253.734375	149253.731343	0.000000	100.000000
2	10	839400	204081.632653	136054.421875	125000.000000	0.000000	100.000000
3	0	844400	203045.685279	152284.265625	200000.000000	0.000000	100.000000
4	11	9721900	561.974554	449.579651	112.644326	0.000000	100.000000
5	1	9726200	674.043700	561.703064	232558.139535	0.000000	100.000000
6	6	9730600	785.995801	673.710693	227272.727273	0.000000	100.000000
7	12	18572000	450.772794	394.426208	113.104260	0.000000	100.000000
8	2	18576200	506.999409	450.666138	238095.238095	0.000000	100.000000
9	7	18579400	563.231144	506.908020	312500.000000	0.000000	100.000000
10	13	27401800	413.890154	376.263763	113.347842	0.000000	100.000000
11	3	27405800	451.448586	413.827850	250000.000000	0.000000	100.000000
12	8	27409500	489.001234	451.385742	270270.270270	0.000000	100.000000
13	14	36221900	395.511509	367.260681	113.476465	0.000000	100.000000
14	4	36226300	423.709663	395.462341	227272.727273	0.000000	100.000000
15	9	36229700	451.913572	423.668976	294117.647059	0.000000	100.000000
16	15	45042400	384.461426	361.846039	113.472602	0.000000	100.000000
