                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   76475773 |  168146540 |  166741585 |   25096242
  Cycles                             |  118906400 |  118906400 |  118906400 |  118906400
  IPC                                |       0.64 |       1.41 |       1.40 |       0.21
  Time (ns)                          |   29726600 |   29726600 |   29726600 |   29726600
  Idle time (ns)                     |   21397541 |   11416396 |   11573816 |   27014863
  Idle time (%)                      |      72.0% |      38.4% |      38.9% |      90.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    3733065 |   17042833 |   16989626 |    1567418
  num incorrect                      |      45911 |      85672 |      84601 |       7832
  misprediction rate                 |      1.21% |      0.50% |      0.50% |      0.50%
  mpki                               |       0.60 |       0.51 |       0.51 |       0.31
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    9019369 |   15798200 |   15696062 |    2796947
    num misses                       |        851 |         76 |         74 |         87
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   18597596 |   34357177 |   33890092 |    7855938
    num misses                       |      10812 |      38592 |      36479 |       2351
    miss rate                        |      0.06% |      0.11% |      0.11% |      0.03%
    mpki                             |       0.14 |       0.23 |       0.22 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      11663 |      38668 |      36553 |       2438
    num misses                       |       2917 |       3284 |       2927 |        950
    miss rate                        |     25.01% |      8.49% |      8.01% |     38.97%
    mpki                             |       0.04 |       0.02 |       0.02 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9019369 |   15798200 |   15696062 |    2796947
    num cache misses                 |      17928 |      85450 |      81849 |       4891
    miss rate                        |      0.20% |      0.54% |      0.52% |      0.17%
    mpki                             |       0.23 |       0.51 |       0.49 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   18597596 |   34357177 |   33890092 |    7855938
    num cache misses                 |     326466 |     365285 |     316245 |     140022
    miss rate                        |      1.76% |      1.06% |      0.93% |      1.78%
    mpki                             |       4.27 |       2.17 |       1.90 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     358929 |     451388 |     398204 |     144921
    num cache misses                 |     311622 |     129609 |      94323 |     124392
    miss rate                        |     86.82% |     28.71% |     23.69% |     85.83%
    mpki                             |       4.07 |       0.77 |       0.57 |       4.96
  Cache L3                           |            |            |            |           
    num cache accesses               |     326771 |     130305 |      94591 |     124400
    num cache misses                 |      53684 |      27289 |       2840 |      44444
    miss rate                        |     16.43% |     20.94% |      3.00% |     35.73%
    mpki                             |       0.70 |       0.16 |       0.02 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     129322 |          0 |          0 |          0
  average dram access latency (ns)   |   14388.06 |        inf |        inf |        inf
  average dram queueing delay        |   14334.63 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28157 |       2638 |       2396 |       6288
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
