CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.25       0.25       0.25
depend-int             0.00       0.01       0.01       0.02
depend-fp              0.00       0.23       0.23       0.23
depend-branch          0.00       0.01       0.01       0.01
issue-port2            0.00       0.03       0.03       0.02
branch                 0.00       0.03       0.03       0.03
mem-l1d                0.00       0.03       0.03       0.03
mem-l3                 0.00       0.05       0.05       0.03
sync                   0.00       0.01       0.01       0.01
sync-futex            31.69       0.00       0.00       0.00
other                  0.45       0.01       0.01       0.01

total                 32.14       0.66       0.66       0.64
