CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.50       0.00       0.00       0.00
mem-l1d                0.07       0.00       0.00       0.00
mem-l3                 0.22       0.37       0.34       0.42
mem-dram               0.44       0.00       0.00       0.00
sync-futex             0.07       0.00       0.00       0.00
imbalance-start        0.00      22.41      22.66      22.03
imbalance-end          0.00       5.20       5.26       5.12
other                  0.05       0.79       0.83       0.72

total                  1.72      28.77      29.09      28.29
