                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11899700 |  589256062 |  589078569 |  606600044
  Cycles                             |  427836800 |  427836800 |  427836800 |  427836800
  IPC                                |       0.03 |       1.38 |       1.38 |       1.42
  Time (ns)                          |  106959200 |  106959200 |  106959200 |  106959200
  Idle time (ns)                     |  105226775 |    3409414 |    3837996 |    3852173
  Idle time (%)                      |      98.4% |       3.2% |       3.6% |       3.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     861257 |   76653083 |   77778323 |   81001384
  num incorrect                      |      25583 |    1359203 |    1207800 |    1307685
  misprediction rate                 |      2.88% |      1.74% |      1.53% |      1.59%
  mpki                               |       2.15 |       2.31 |       2.05 |       2.16
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1683368 |   64463384 |   63896104 |   67450758
    num misses                       |        210 |         46 |         45 |         45
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4907510 |  232850386 |  233535579 |  240881029
    num misses                       |       2182 |        406 |        223 |        453
    miss rate                        |      0.04% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.18 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2392 |        452 |        268 |        498
    num misses                       |        528 |        143 |        135 |        140
    miss rate                        |     22.07% |     31.64% |     50.37% |     28.11%
    mpki                             |       0.04 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1683368 |   64463384 |   63896104 |   67450758
    num cache misses                 |       8316 |       2953 |       2322 |       2314
    miss rate                        |      0.49% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.70 |       0.01 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4907510 |  232850386 |  233535579 |  240881029
    num cache misses                 |      42935 |    1672853 |    1477770 |    1332197
    miss rate                        |      0.87% |      0.72% |      0.63% |      0.55%
    mpki                             |       3.61 |       2.84 |       2.51 |       2.20
  Cache L2                           |            |            |            |           
    num cache accesses               |      60655 |    2219580 |    1995685 |    1694024
    num cache misses                 |      18240 |    1306366 |    1301343 |    1150717
    miss rate                        |     30.07% |     58.86% |     65.21% |     67.93%
    mpki                             |       1.53 |       2.22 |       2.21 |       1.90
  Cache L3                           |            |            |            |           
    num cache accesses               |      27858 |    1850349 |    1816837 |    1510045
    num cache misses                 |      13701 |        410 |        181 |        193
    miss rate                        |     49.18% |      0.02% |      0.01% |      0.01%
    mpki                             |       1.15 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      14464 |          0 |          0 |          0
  average dram access latency (ns)   |      72.25 |        inf |        inf |        inf
  average dram queueing delay        |      18.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9261 |         67 |         22 |         24
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
