                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2410708 |  270005034 |  269928140 |  323882081
  Cycles                             |  203233200 |  203233200 |  203233200 |  203233200
  IPC                                |       0.01 |       1.33 |       1.33 |       1.59
  Time (ns)                          |   50808300 |   50808300 |   50808300 |   50808300
  Idle time (ns)                     |   49958789 |    9189594 |    9169901 |     848998
  Idle time (%)                      |      98.3% |      18.1% |      18.0% |       1.7%
Branch predictor stats               |            |            |            |           
  num correct                        |     333094 |   25746585 |   25734879 |   30875536
  num incorrect                      |      16587 |     792646 |     792738 |     951310
  misprediction rate                 |      4.74% |      2.99% |      2.99% |      2.99%
  mpki                               |       6.88 |       2.94 |       2.94 |       2.94
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     206735 |   35763482 |   35752123 |   42897380
    num misses                       |        191 |         70 |         46 |         46
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     817188 |   95289519 |   95259744 |  114296329
    num misses                       |       1379 |       4668 |        118 |       1298
    miss rate                        |      0.17% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.57 |       0.02 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       1570 |       4738 |        164 |       1344
    num misses                       |        486 |        187 |        147 |        149
    miss rate                        |     30.96% |      3.95% |     89.63% |     11.09%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     206735 |   35763482 |   35752123 |   42897380
    num cache misses                 |       2896 |       2313 |        662 |        707
    miss rate                        |      1.40% |      0.01% |      0.00% |      0.00%
    mpki                             |       1.20 |       0.01 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     817188 |   95289519 |   95259744 |  114296329
    num cache misses                 |      17489 |    1065514 |    1067539 |    1278286
    miss rate                        |      2.14% |      1.12% |      1.12% |      1.12%
    mpki                             |       7.25 |       3.95 |       3.95 |       3.95
  Cache L2                           |            |            |            |           
    num cache accesses               |      20835 |    1068131 |    1068500 |    1279352
    num cache misses                 |      13603 |       3343 |       3030 |       3366
    miss rate                        |     65.29% |      0.31% |      0.28% |      0.26%
    mpki                             |       5.64 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      14058 |       3655 |       3337 |       3734
    num cache misses                 |      11954 |       2371 |       2197 |       2366
    miss rate                        |     85.03% |     64.87% |     65.84% |     63.36%
    mpki                             |       4.96 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18759 |          0 |          0 |          0
  average dram access latency (ns)   |     216.90 |        inf |        inf |        inf
  average dram queueing delay        |     163.47 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8163 |        644 |        499 |        446
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
