                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2379067 |  280805286 |  280798476 |  336922276 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200 |  211517200
  IPC                                |       0.01 |       1.33 |       1.33 |       1.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300
  Idle time (ns)                     |   52013290 |    9529663 |    9511781 |     866129 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300 |   52879300
  Idle time (%)                      |      98.4% |      18.0% |      18.0% |       1.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     329143 |   26763452 |   26762638 |   32108688 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      15909 |     835129 |     834990 |    1001557 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.61% |      3.03% |      3.03% |      3.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.69 |       2.97 |       2.97 |       2.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     202716 |   38833127 |   38832261 |   46592935 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        186 |         46 |         46 |         46 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     803413 |   99102973 |   99100385 |  118903493 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
