                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   98924073 |  109498658 |  109599824 |  106252978 |  110176408 |  109323436 |  110010045 |  108640984 |  109940314 |  110691579 |  110566459 |   25096056 |          0 |          0 |          0 |          0
  Cycles                             |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400 |  166456400
  IPC                                |       0.59 |       0.66 |       0.66 |       0.64 |       0.66 |       0.66 |       0.66 |       0.65 |       0.66 |       0.66 |       0.66 |       0.15 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100 |   41614100
  Idle time (ns)                     |   24612121 |   22200264 |   22141397 |   22051543 |   22099606 |   22121346 |   22234161 |   21981007 |   22175521 |   22108270 |   22043200 |   37584372 |   41614100 |   41614100 |   41614100 |   41614100
  Idle time (%)                      |      59.1% |      53.3% |      53.2% |      53.0% |      53.1% |      53.2% |      53.4% |      52.8% |      53.3% |      53.1% |      53.0% |      90.3% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5454349 |   10303741 |   10307703 |    9972457 |   10325457 |   10256501 |   10332178 |   10202820 |   10322632 |   10395162 |   10371682 |    1567245 |          0 |          0 |          0 |          0
  num incorrect                      |     128456 |     248021 |     247355 |     241592 |     251068 |     246895 |     249332 |     247998 |     250250 |     249815 |     254484 |       7990 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.30% |      2.35% |      2.34% |      2.37% |      2.37% |      2.35% |      2.36% |      2.37% |      2.37% |      2.35% |      2.39% |      0.51% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.30 |       2.27 |       2.26 |       2.27 |       2.28 |       2.26 |       2.27 |       2.28 |       2.28 |       2.26 |       2.30 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   10890119 |   10185534 |   10197439 |    9890167 |   10234233 |   10165030 |   10228939 |   10108512 |   10224026 |   10291315 |   10292261 |    2800756 |          0 |          0 |          0 |          0
    num misses                       |        819 |         76 |         77 |         78 |         79 |         69 |         76 |         69 |         71 |         69 |         69 |         86 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   25278478 |   27902037 |   27914365 |   26985260 |   28185337 |   27840069 |   28009178 |   27670829 |   27989045 |   28194789 |   28159303 |    7855931 |          0 |          0 |          0 |          0
    num misses                       |      10886 |     107417 |     111395 |     105203 |     109765 |     108210 |     108820 |     107911 |     110630 |     109951 |     111730 |       2366 |          0 |          0 |          0 |          0
    miss rate                        |      0.04% |      0.38% |      0.40% |      0.39% |      0.39% |      0.39% |      0.39% |      0.39% |      0.40% |      0.39% |      0.40% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.11 |       0.98 |       1.02 |       0.99 |       1.00 |       0.99 |       0.99 |       0.99 |       1.01 |       0.99 |       1.01 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      11705 |     107493 |     111472 |     105281 |     109844 |     108279 |     108896 |     107980 |     110701 |     110020 |     111799 |       2452 |          0 |          0 |          0 |          0
    num misses                       |       3434 |       7727 |       8410 |       8505 |       8926 |       8213 |       8543 |       8222 |       9105 |       8216 |       8576 |        963 |          0 |          0 |          0 |          0
    miss rate                        |     29.34% |      7.19% |      7.54% |      8.08% |      8.13% |      7.59% |      7.85% |      7.61% |      8.22% |      7.47% |      7.67% |     39.27% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.07 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.07 |       0.08 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10890119 |   10185534 |   10197439 |    9890167 |   10234233 |   10165030 |   10228939 |   10108512 |   10224026 |   10291315 |   10292261 |    2800756 |          0 |          0 |          0 |          0
    num cache misses                 |      19667 |     270252 |     268984 |     259392 |     271521 |     268925 |     270666 |     266491 |     270300 |     272413 |     269917 |       4525 |          0 |          0 |          0 |          0
