                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  100927958 |  129112910 |  129956818 |  128791796 |  130641967 |  129541060 |  129046609 |  128579175 |  131162998 |   25096056 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200 |  170740200
  IPC                                |       0.59 |       0.76 |       0.76 |       0.75 |       0.77 |       0.76 |       0.76 |       0.75 |       0.77 |       0.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400
  Idle time (ns)                     |   36241093 |   26693905 |   26636004 |   26873058 |   26547700 |   26574323 |   26598641 |   26862850 |   26430772 |   52108037 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400 |   56913400
  Idle time (%)                      |      63.7% |      46.9% |      46.8% |      47.2% |      46.6% |      46.7% |      46.7% |      47.2% |      46.4% |      91.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5590281 |   12049355 |   12245922 |   12046131 |   12200482 |   12116906 |   12005614 |   11955124 |   12227536 |    1567321 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     127716 |     303095 |     297501 |     302782 |     306228 |     300836 |     306324 |     302845 |     310556 |       7914 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.23% |      2.45% |      2.37% |      2.45% |      2.45% |      2.42% |      2.49% |      2.47% |      2.48% |      0.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.27 |       2.35 |       2.29 |       2.35 |       2.34 |       2.32 |       2.37 |       2.36 |       2.37 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   11107741 |   12250058 |   12350919 |   12228695 |   12397300 |   12301074 |   12230424 |   12189680 |   12437365 |    2800756 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        745 |         82 |         82 |         82 |         82 |         82 |         85 |         82 |         75 |         90 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   25861995 |   33389041 |   33533156 |   33333341 |   33793427 |   33410621 |   33576404 |   33248977 |   33984837 |    7855931 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      11985 |     136299 |     136328 |     136595 |     138831 |     137049 |     140302 |     132783 |     145796 |       2384 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.05% |      0.41% |      0.41% |      0.41% |      0.41% |      0.41% |      0.42% |      0.40% |      0.43% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.12 |       1.06 |       1.05 |       1.06 |       1.06 |       1.06 |       1.09 |       1.03 |       1.11 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      12730 |     136381 |     136410 |     136677 |     138913 |     137131 |     140387 |     132865 |     145871 |       2474 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3427 |       8166 |       8122 |       7009 |       7189 |       7072 |       8091 |       6712 |      10277 |        966 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     26.92% |      5.99% |      5.95% |      5.13% |      5.18% |      5.16% |      5.76% |      5.05% |      7.05% |     39.05% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.06 |       0.06 |       0.05 |       0.06 |       0.05 |       0.06 |       0.05 |       0.08 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
