Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	450650300	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	451654300	1992.031873	996.015930	996.015936	0.000000	100.000000
2	0	451709400	2832.593712	1888.395752	18148.820327	0.000000	100.000000
3	0	451733300	3693.444137	2770.083008	41841.004184	0.000000	100.000000
4	1	452492300	2714.440825	2171.552734	1317.523057	0.000000	100.000000
5	1	452519300	3210.272873	2675.227295	37037.037037	0.000000	100.000000
6	1	452533100	3717.867007	3186.743164	72463.768116	0.000000	100.000000
7	2	453283900	3037.667072	2657.958740	1331.912627	0.000000	100.000000
8	2	453312500	3380.662610	3005.033447	34965.034965	0.000000	100.000000
9	2	453323700	3740.555098	3366.499756	89285.714286	0.000000	100.000000
10	3	454068800	3217.785578	2925.259521	1342.101731	0.000000	100.000000
11	3	454095600	3483.005834	3192.755371	37313.432836	0.000000	100.000000
12	3	454107900	3759.833410	3470.615234	81300.813008	0.000000	100.000000
13	4	454847300	3335.715988	3097.450439	1352.447931	0.000000	100.000000
14	4	454867200	3557.115417	3319.974121	50251.256281	0.000000	100.000000
15	4	454877900	3784.653231	3548.112305	93457.943925	0.000000	100.000000
16	5	455618200	3421.969041	3220.676758	1350.803728	0.000000	100.000000
17	5	455630500	3614.312678	3413.517578	81300.813008	0.000000	100.000000
18	5	455644500	3804.413119	3604.180664	71428.571429	0.000000	100.000000
19	6	456380300	3490.401396	3315.881348	1359.064963	0.000000	100.000000
20	6	456391900	3657.517068	3483.349609	86206.896552	0.000000	100.000000
21	6	456413500	3817.323709	3643.809082	46296.296296	0.000000	100.000000
22	7	457142500	3542.712794	3388.681885	1371.742112	0.000000	100.000000
23	7	457157200	3688.392322	3534.709473	68027.210884	0.000000	100.000000
24	7	457180300	3828.483920	3675.344482	43290.043290	0.000000	100.000000
25	8	457907400	3582.698323	3444.902344	1375.326640	0.000000	100.000000
26	8	457918900	3714.608040	3577.030029	86956.521739	0.000000	100.000000
27	8	457945500	3838.140147	3701.063721	37593.984962	0.000000	100.000000
28	9	458670700	3615.779762	3491.097900	1378.929950	0.000000	100.000000
29	9	458679800	3736.222679	3611.681885	109890.109890	0.000000	100.000000
30	9	458716300	3843.292834	3719.315674	27397.260274	0.000000	100.000000
31	10	459439600	3640.790507	3853.416016	1382.552191	0.000000	100.000000
32	10	459452200	3749.190516	3874.567383	79365.079365	0.000000	100.000000
33	10	459482400	3849.594094	3871.417480	33112.582781	0.000000	100.000000
34	11	460204700	3663.233693	3889.839844	1384.466288	0.000000	100.000000
35	11	460218700	3762.384516	3896.407471	71428.571429	0.000000	100.000000
36	11	460249700	3854.407567	3887.722656	32258.064516	0.000000	100.000000
37	12	460970600	3682.063506	3902.845215	1387.154945	0.000000	100.000000
38	12	460986600	3773.110301	3909.253174	62500.000000	0.000000	100.000000
39	12	461016000	3858.880732	3900.003906	34013.605442	0.000000	100.000000
40	13	461736800	3698.191494	3912.363037	1387.347392	0.000000	100.000000
41	13	461752300	3783.102144	3918.137207	64516.129032	0.000000	100.000000
42	13	461781100	3863.154490	3909.711914	34722.222222	0.000000	100.000000
43	14	462504600	3711.733295	3917.830078	1382.170007	0.000000	100.000000
44	14	462544000	3783.515643	3907.878418	25380.710660	0.000000	100.000000
45	14	462552900	3864.701830	3908.794922	112359.550562	0.000000	100.000000
