CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.50       0.00       0.00       0.00
mem                    0.00       0.63       0.66       0.62
mem-l1d                0.06       0.00       0.00       0.00
mem-l2                 0.02       0.00       0.00       0.00
mem-l3                 0.22       0.00       0.00       0.00
mem-dram               0.44       0.00       0.00       0.00
sync-futex             0.04       0.00       0.00       0.00
imbalance-start        0.00      41.68      41.07      42.13
imbalance-end          0.00       9.74       9.60       9.85
other                  0.03       0.55       0.50       0.57

total                  1.68      52.60      51.83      53.18
