Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	825000	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	894600	28735.632184	14367.816406	14367.816092	0.000000	100.000000
2	0	4103800	914.968891	609.979248	311.604138	0.000000	100.000000
3	0	10014600	435.274658	326.455994	169.181837	0.000000	100.000000
4	0	13643500	390.061240	312.048981	275.565598	0.000000	100.000000
5	0	17712000	355.302896	296.085754	245.790832	0.000000	100.000000
6	0	21346600	341.104007	292.374847	275.133440	0.000000	100.000000
7	0	24512600	337.729445	295.513275	315.855970	0.000000	100.000000
8	0	27723100	334.596124	297.418762	311.477963	0.000000	100.000000
9	0	30909500	332.397082	299.157379	313.833794	0.000000	100.000000
10	0	34015100	331.424129	301.294678	321.998970	0.000000	100.000000
11	0	38088800	322.028349	295.192657	245.477085	0.000000	100.000000
12	0	41251600	321.570451	296.834259	316.175541	0.000000	100.000000
13	0	43917000	324.886290	301.680115	375.178210	0.000000	100.000000
14	0	48002700	317.946827	296.750366	244.756101	0.000000	100.000000
15	0	53296500	304.927437	285.869476	188.900223	0.000000	100.000000
16	0	56962300	302.828957	285.015503	272.791751	0.000000	100.000000
