                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2410867 |  213465384 |  213391213 |  256041520
  Cycles                             |  161506400 |  161506400 |  161506400 |  161506400
  IPC                                |       0.01 |       1.32 |       1.32 |       1.59
  Time (ns)                          |   40376600 |   40376600 |   40376600 |   40376600
  Idle time (ns)                     |   39528027 |    7453690 |    7428678 |     848302
  Idle time (%)                      |      97.9% |      18.5% |      18.4% |       2.1%
Branch predictor stats               |            |            |            |           
  num correct                        |     333185 |   20351394 |   20339265 |   24402228
  num incorrect                      |      16569 |     632683 |     633559 |     759800
  misprediction rate                 |      4.74% |      3.02% |      3.02% |      3.02%
  mpki                               |       6.87 |       2.96 |       2.97 |       2.97
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     206730 |   28275056 |   28264073 |   33912426
    num misses                       |        200 |         70 |         46 |         46
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     817161 |   75337298 |   75308572 |   90356944
    num misses                       |       1628 |       3955 |       1545 |       3170
    miss rate                        |      0.20% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.68 |       0.02 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |       1828 |       4025 |       1591 |       3216
    num misses                       |        490 |        183 |        147 |        149
    miss rate                        |     26.81% |      4.55% |      9.24% |      4.63%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     206730 |   28275056 |   28264073 |   33912426
    num cache misses                 |       2889 |       2312 |        652 |        686
    miss rate                        |      1.40% |      0.01% |      0.00% |      0.00%
    mpki                             |       1.20 |       0.01 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     817161 |   75337298 |   75308572 |   90356944
    num cache misses                 |      17486 |     842068 |     843696 |    1010081
    miss rate                        |      2.14% |      1.12% |      1.12% |      1.12%
    mpki                             |       7.25 |       3.94 |       3.95 |       3.94
  Cache L2                           |            |            |            |           
    num cache accesses               |      20822 |     844679 |     844655 |    1011125
    num cache misses                 |      13563 |       3345 |       3030 |       3353
    miss rate                        |     65.14% |      0.40% |      0.36% |      0.33%
    mpki                             |       5.63 |       0.02 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      14015 |       3652 |       3345 |       3720
    num cache misses                 |      11957 |       2330 |       2250 |       2483
    miss rate                        |     85.32% |     63.80% |     67.26% |     66.75%
    mpki                             |       4.96 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18758 |          0 |          0 |          0
  average dram access latency (ns)   |     202.31 |        inf |        inf |        inf
  average dram queueing delay        |     148.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8157 |        615 |        572 |        531
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
