Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	6507000	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	6515000	250000.000000	125000.000000	125000.000000	0.000000	100.000000
2	1	6682600	17084.282460	11389.521484	5966.587112	0.000000	100.000000
3	2	6835100	12191.405059	9143.553711	6557.377049	0.000000	100.000000
4	3	6987500	10405.827263	8324.662109	6561.679790	0.000000	100.000000
5	4	7139500	9486.166008	7905.138184	6578.947368	0.000000	100.000000
6	5	7291200	8926.294313	7651.109375	6591.957811	0.000000	100.000000
7	6	7442600	8550.662676	7481.830078	6605.019815	0.000000	100.000000
8	7	7594000	8279.668813	7359.705566	6605.019815	0.000000	100.000000
9	8	7745400	8074.935401	7267.441895	6605.019815	0.000000	100.000000
10	9	7896900	7914.238434	7194.762207	6600.660066	0.000000	100.000000
11	10	8048300	7785.635502	7136.832031	6605.019815	0.000000	100.000000
12	11	8199700	7680.037809	7089.266113	6605.019815	0.000000	100.000000
13	12	8351100	7591.779188	7049.509277	6605.019815	0.000000	100.000000
14	13	8502500	7516.913054	7015.785156	6605.019815	0.000000	100.000000
15	14	8653900	7452.606083	6986.817871	6605.019815	0.000000	100.000000
16	15	8805300	7396.771527	6961.667480	6605.019815	0.000000	100.000000
17	16	8956600	7348.138472	6939.908203	6609.385327	0.000000	100.000000
18	17	9108000	7304.882737	6920.415039	6605.019815	0.000000	100.000000
19	18	9259300	7266.649711	6903.317383	6609.385327	0.000000	100.000000
20	19	9410600	7232.401157	6888.000977	6609.385327	0.000000	100.000000
21	20	9561900	7201.545059	6874.202637	6609.385327	0.000000	100.000000
22	21	9713300	7173.377413	6861.491699	6605.019815	0.000000	100.000000
23	22	9864600	7147.962831	6850.130859	6609.385327	0.000000	100.000000
24	23	10016000	7124.536905	6839.555664	6605.019815	0.000000	100.000000
25	24	10167400	7103.048847	6829.854492	6605.019815	0.000000	100.000000
26	25	10318700	7083.453577	6821.103516	6609.385327	0.000000	100.000000
27	26	10470000	7065.354529	6813.020508	6609.385327	0.000000	100.000000
28	27	10621400	7048.415322	6805.366211	6605.019815	0.000000	100.000000
29	28	10772800	7032.678513	6798.256348	6605.019815	0.000000	100.000000
30	29	10924200	7018.020465	6791.632812	6605.019815	0.000000	100.000000
31	30	11075600	7004.333932	6578.082031	6605.019815	0.000000	100.000000
32	31	11227200	6991.229185	6601.240723	6596.306069	0.000000	100.000000
33	32	11378500	6979.369804	6602.984375	6609.385327	0.000000	100.000000
34	33	11529800	6968.224894	6604.583496	6609.385327	0.000000	100.000000
35	34	11681000	6957.866254	6605.747070	6613.756614	0.000000	100.000000
36	35	11832300	6947.965373	6606.329102	6609.385327	0.000000	100.000000
37	36	11983600	6938.611547	6606.474121	6609.385327	0.000000	100.000000
38	37	12134800	6929.883791	6606.765137	6613.756614	0.000000	100.000000
39	38	12286000	6921.612736	6607.056641	6613.756614	0.000000	100.000000
40	39	12437300	6913.646864	6607.347168	6609.385327	0.000000	100.000000
41	40	12588500	6906.190907	6607.638672	6613.756614	0.000000	100.000000
42	41	12739700	6899.096700	6607.929688	6613.756614	0.000000	100.000000
43	42	12890900	6892.338539	6608.220215	6613.756614	0.000000	100.000000
44	43	13042200	6885.787734	6608.366211	6609.385327	0.000000	100.000000
45	44	13193500	6879.533388	6608.511719	6609.385327	0.000000	100.000000
46	45	13344700	6873.656346	6608.803223	6613.756614	0.000000	100.000000
47	46	13496000	6867.935327	6608.803223	6609.385327	0.000000	100.000000
48	47	13647200	6862.552870	6609.093750	6613.756614	0.000000	100.000000
49	48	13798500	6857.299595	6609.093750	6609.385327	0.000000	100.000000
50	49	13949700	6852.351969	6609.239746	6613.756614	0.000000	100.000000
