                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49892005 |   27633659 |   27229153 |   27225691
  Cycles                             |   50724000 |   50724000 |   50724000 |   50724000
  IPC                                |       0.98 |       0.54 |       0.54 |       0.54
  Time (ns)                          |   12681000 |   12681000 |   12681000 |   12681000
  Idle time (ns)                     |    4612325 |    8071930 |    8193110 |    8130460
  Idle time (%)                      |      36.4% |      63.7% |      64.6% |      64.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    8264830 |    1616628 |    1561396 |    1556597
  num incorrect                      |     530759 |      44390 |      37640 |      41711
  misprediction rate                 |      6.03% |      2.67% |      2.35% |      2.61%
  mpki                               |      10.64 |       1.61 |       1.38 |       1.53
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7583453 |    3095185 |    3034976 |    3035313
    num misses                       |        140 |         57 |         33 |         33
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17213123 |    8166750 |    8008594 |    8007100
    num misses                       |        693 |        278 |        203 |        225
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |        833 |        335 |        236 |        258
    num misses                       |        318 |        143 |        118 |        105
    miss rate                        |     38.18% |     42.69% |     50.00% |     40.70%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7583453 |    3095185 |    3034976 |    3035313
    num cache misses                 |       3258 |       1475 |        255 |        250
    miss rate                        |      0.04% |      0.05% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.05 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17213123 |    8166750 |    8008594 |    8007100
    num cache misses                 |      11409 |      28203 |      25380 |      25082
    miss rate                        |      0.07% |      0.35% |      0.32% |      0.31%
    mpki                             |       0.23 |       1.02 |       0.93 |       0.92
  Cache L2                           |            |            |            |           
    num cache accesses               |      14768 |      29681 |      25637 |      25336
    num cache misses                 |      10623 |       1952 |       1441 |       1374
    miss rate                        |     71.93% |      6.58% |      5.62% |      5.42%
    mpki                             |       0.21 |       0.07 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |      10728 |       1955 |       1443 |       1378
    num cache misses                 |       8916 |        304 |        311 |        308
    miss rate                        |     83.11% |     15.55% |     21.55% |     22.35%
    mpki                             |       0.18 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9839 |          0 |          0 |          0
  average dram access latency (ns)   |     506.16 |        inf |        inf |        inf
  average dram queueing delay        |     452.73 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2587 |        161 |        193 |        200
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
